agent,final_position,battery_soc,lap_time,won,laps_completed,avg_speed,consistency_rating,strategy_effectiveness,scenario_id
Conservative,2,5.0,88.3915134970288,0,69,203.63945912754457,0.95,0.9453125245283487,S0055_0
Risk_Taker,3,5.0,89.47282969313953,0,69,201.178391940142,0.8213511588195758,0.96811175775348,S0055_0
Balanced,4,5.0,89.46449649587338,0,69,201.19713076158948,0.9,0.7229827817672481,S0055_0
Aggressive,5,5.0,90.68183089096787,0,69,198.49621278205626,0.85,0.9796368609692921,S0055_0
Adaptive,6,9.584359455797173,91.96336521134444,0,69,195.73011447149122,0.9142801788634175,0.8714390125049352,S0055_0
Defensive,7,13.301115167029996,94.1853281013831,0,69,191.11256883475966,0.9294749761639169,0.7432404904111058,S0055_0
Opportunist,1,5.0,86.068264423678,1,70,209.1363189501945,0.9227610051351688,0.9446007450268136,S0056_0
Conservative,2,5.0,87.95219290918322,0,70,204.65663680024733,0.95,0.8927899819420874,S0056_0
Risk_Taker,3,5.0,88.24611927815712,0,70,203.97497529906,0.8147842731369762,0.8911322398310566,S0056_0
Balanced,4,5.0,89.92146037027244,0,70,200.17468495152139,0.9,0.9850533820269998,S0056_0
Defensive,5,5.0,89.98896523034625,0,70,200.02452471728174,0.8753010622058522,0.8627430375824907,S0056_0
Adaptive,6,8.465341289471835,90.09028039954687,0,70,199.79957793638454,0.9075625720092472,0.9052836574930635,S0056_0
Aggressive,7,5.0,92.7669282754013,0,70,194.0346666062134,0.85,0.8194109781854844,S0056_0
Opportunist,1,5.0,85.72294212158725,1,67,209.97879394374092,0.9427593766873842,0.7188801875536192,S0057_0
Conservative,2,16.910135827078864,87.82205862649289,0,67,204.95989597048708,0.95,0.7632440676658305,S0057_0
Defensive,3,5.0,88.20541666618254,0,67,204.0691000658364,0.8118538576983636,0.8697086446867008,S0057_0
Risk_Taker,4,5.0,87.94494510497731,0,67,204.67350316171016,0.8570128087902122,0.6134722112354332,S0057_0
Adaptive,5,5.0,89.72482458309689,0,67,200.61337632741373,0.8661345569243353,0.945146753345977,S0057_0
Balanced,6,5.0,90.12300005007071,0,67,199.72703960142832,0.9,0.900159222750447,S0057_0
Aggressive,7,5.0,91.64682163307484,0,67,196.40615658300035,0.85,0.719734832401153,S0057_0
Risk_Taker,1,5.0,86.25432176244352,1,52,208.68519550329916,0.8441633204367777,0.8824332722491104,S0058_0
Adaptive,2,11.135136299776073,87.03683562334042,0,52,206.8089892180431,0.8398605112943892,0.780996595345695,S0058_0
Conservative,3,5.0,87.77568136245378,0,52,205.06818882638188,0.95,0.9558648216685837,S0058_0
Balanced,4,5.0,90.1382538304706,0,52,199.69324049536033,0.9,0.9862405205502631,S0058_0
Aggressive,5,5.0,91.30041822323598,0,52,197.1513422423622,0.85,0.8662910199924737,S0058_0
Defensive,6,5.0,94.11864815084918,0,52,191.24796577135703,0.9298969802313951,0.6853513019615176,S0058_0
Opportunist,7,13.224301007206465,95.86763017093232,0,52,187.75889179596842,0.8015417515350141,0.6478870676768752,S0058_0
Conservative,1,8.245286899782847,97.18320083107008,1,70,185.21719645032815,0.95,0.9702212566101319,S0059_0
Balanced,2,8.62098543395762,99.92150785646669,0,70,180.14139684377352,0.9,0.7785628667388207,S0059_0
Aggressive,3,5.0,101.4560148689137,0,70,177.4167852271441,0.85,0.6936175625988246,S0059_0
Risk_Taker,4,5.0,104.48600434319778,0,70,172.27187615363943,0.8127491799604745,0.9624796740417685,S0059_0
Adaptive,5,7.221994436030359,102.90344475479532,0,70,174.92125791212834,0.8478430227703699,0.8655460366380373,S0059_0
Defensive,6,5.0,104.0193883017653,0,70,173.04466305628642,0.8764212562568896,0.6863388080939021,S0059_0
Opportunist,7,5.0,105.05534931645582,0,70,171.33825280785098,0.8469604219808603,0.6314556228276226,S0059_0
Adaptive,1,5.0,86.26643596514386,1,68,208.65589030794018,0.8016043481307767,0.8974670481841243,S0060_0
Risk_Taker,2,5.0,86.66286307225012,0,68,207.70142321508058,0.918298545799027,0.6382863873782677,S0060_0
Defensive,3,5.0,85.9852265878039,0,68,209.33828652087442,0.8216041348608306,0.6749120351964161,S0060_0
Conservative,4,19.001466366191202,88.46248334397116,0,68,203.4760874845678,0.95,0.9698128179678276,S0060_0
Balanced,5,5.0,90.33787102009228,0,68,199.2519836558532,0.9,0.9768307535800836,S0060_0
Opportunist,6,5.0,91.49342140881215,0,68,196.73545619823477,0.9328666503323634,0.6610686005992706,S0060_0
Aggressive,7,5.0,92.14547651297096,0,68,195.34328413252288,0.85,0.7136878897687987,S0060_0
Conservative,1,5.0,88.10924939443609,1,60,204.291832284485,0.95,0.7529591160201173,S0061_0
Balanced,2,5.0,90.65008384193777,0,60,198.56572919872573,0.9,0.9476636110697431,S0061_0
Aggressive,3,5.0,90.50324492130008,0,60,198.88789640252634,0.85,0.8894075205572485,S0061_0
Defensive,4,5.0,94.12996083827065,0,60,191.2249812886536,0.8488594683587704,0.8860469989173256,S0061_0
Opportunist,5,8.627666310191472,94.1765228897609,0,60,191.13043726481646,0.8840256555964169,0.7885197490114132,S0061_0
Adaptive,6,5.0,94.20715052348952,0,60,191.0682989558409,0.8086812541396413,0.8631226374847073,S0061_0
Risk_Taker,7,5.0,94.9157506741594,0,60,189.64186525577847,0.8936866751218908,0.6451523398124545,S0061_0
