agent,final_position,battery_soc,lap_time,won,laps_completed,avg_speed,consistency_rating,strategy_effectiveness,scenario_id
Opportunist,6,5.0,101.46390095256342,0,59,177.4029958538199,0.8042133926875974,0.7983836687914763,S0008_0
Risk_Taker,7,7.862391686328243,102.74615837308835,0,59,175.18903173624278,0.8038331116869096,0.6842735384669317,S0008_0
Conservative,1,18.669941430968926,88.30975690505043,1,53,203.8279871991198,0.95,0.7895497861507325,S0009_0
Balanced,2,5.0,90.09796073386592,0,53,199.78254616848594,0.9,0.7290263959881979,S0009_0
Risk_Taker,3,5.0,90.21030835590965,0,53,199.5337376409802,0.9086119356283975,0.9014034742660977,S0009_0
Defensive,4,5.0,90.4511289711877,0,53,199.00249123185316,0.8385392357980519,0.9602373442340502,S0009_0
Opportunist,5,12.110972847549496,90.92829557606694,0,53,197.95818106963114,0.8344790236610725,0.7579807356352977,S0009_0
Aggressive,6,5.0,91.22911809563386,0,53,197.30542589626833,0.85,0.6036058667544915,S0009_0
Adaptive,7,5.0,94.03035029176576,0,53,191.42755444543164,0.9443089340230659,0.7005849225351051,S0009_0
Risk_Taker,1,5.0,93.76493673617257,1,67,191.969414437369,0.9003997098558668,0.8476713069208759,S0010_0
Conservative,2,5.0,96.61017790479849,0,67,186.31577324842053,0.95,0.6117593855374769,S0010_0
Balanced,3,5.0,99.54656949318843,0,67,180.8198925552293,0.9,0.7252391417906484,S0010_0
Defensive,4,5.0,101.15124942761219,0,67,177.9513362598799,0.9150022435464648,0.9456625769607099,S0010_0
Aggressive,5,5.0,102.32687842716231,0,67,175.9068611949562,0.85,0.8191063182342189,S0010_0
Opportunist,6,5.0,104.17530717884836,0,67,172.78566761600777,0.8759724223516094,0.8954538117873925,S0010_0
Adaptive,7,5.0,104.10253921307083,0,67,172.90644528044297,0.8130180828202108,0.7396281239416088,S0010_0
Conservative,1,5.0,97.1948891380847,1,66,185.19492289792538,0.95,0.7614573393282311,S0011_0
Balanced,2,5.650095111072861,98.39933191290956,0,66,182.92807125897244,0.9,0.6235774231480019,S0011_0
Defensive,3,14.513930525192391,99.13964154104876,0,66,181.562084754433,0.8086457632892179,0.6132488428677031,S0011_0
Aggressive,4,5.0,99.507079054714,0,66,180.89165284514777,0.85,0.8532424687315618,S0011_0
Adaptive,5,5.0,103.1442495017226,0,66,174.51287965112766,0.9150461456934704,0.644022449067442,S0011_0
Opportunist,6,5.0,102.85691417022345,0,66,175.0003890862488,0.8049140904733607,0.7346921917547627,S0011_0
Risk_Taker,7,5.0,104.38831605315609,0,66,172.43309098725314,0.8380220273086096,0.6298280159652927,S0011_0
Conservative,1,5.0,88.50467640149735,1,66,203.37908381636058,0.95,0.6959571175860461,S0012_0
Defensive,2,5.0,87.98805526960132,0,66,204.57322240895982,0.9471742197516138,0.7185963583881775,S0012_0
Adaptive,3,5.0,88.44126366719888,0,66,203.52490742028877,0.8140104191672277,0.8035192745164357,S0012_0
Balanced,4,5.0,89.59985565058044,0,66,200.89318079033526,0.9,0.7250469435368998,S0012_0
Risk_Taker,5,5.0,92.44857508612249,0,66,194.70283866713692,0.8712649519963033,0.6692764248134301,S0012_0
Aggressive,6,5.0,92.80148430131065,0,66,193.96241488505785,0.85,0.6257834954861918,S0012_0
Opportunist,7,5.0,93.79020631306862,0,66,191.91769276971831,0.8949609171188432,0.9573245655382336,S0012_0
Conservative,1,5.0,87.96843371561826,1,53,204.6188529193309,0.95,0.9031599204784296,S0013_0
Risk_Taker,2,5.0,87.56041962308727,0,53,205.57233596507226,0.9139486511550008,0.8480408174816266,S0013_0
Opportunist,3,5.0,89.12845904049635,0,53,201.9556962363899,0.8825114241028439,0.8064734467065172,S0013_0
