agent,lap,battery_soc,lap_time,cumulative_time,final_position,won,scenario_id
Overtake_Hunter,27,72.32499999999985,89.75000000000001,2423.2500000000005,5,0,S0000_0
Adaptive_AI,27,67.46500000000005,89.7125,2422.237500000001,2,0,S0000_0
Electric_Blitz,28,22.299999999999955,89.56,2507.679999999999,1,1,S0000_0
Energy_Saver,28,98.2780701754386,89.81657894736843,2516.057894736842,8,0,S0000_0
Balanced_Hybrid,28,69.20000000000016,89.7275,2512.3699999999994,4,0,S0000_0
Corner_Specialist,28,68.5,89.72,2512.1599999999994,3,0,S0000_0
Straight_Dominator,28,78.29999999999984,89.7675,2513.4899999999993,6,0,S0000_0
Late_Charger,28,100.0,89.96249999999999,2518.950000000001,7,0,S0000_0
Overtake_Hunter,28,71.29999999999984,89.75000000000001,2513.0000000000005,5,0,S0000_0
Adaptive_AI,28,66.26000000000005,89.7125,2511.950000000001,2,0,S0000_0
Electric_Blitz,29,19.524999999999956,89.56,2597.239999999999,1,1,S0000_0
Energy_Saver,29,97.9921052631579,89.81342105263158,2605.8713157894736,8,0,S0000_0
Balanced_Hybrid,29,68.10000000000016,89.7275,2602.0974999999994,4,0,S0000_0
Corner_Specialist,29,67.375,89.72,2601.879999999999,3,0,S0000_0
Straight_Dominator,29,77.52499999999984,89.7675,2603.2574999999993,6,0,S0000_0
Late_Charger,29,100.0,89.96249999999999,2608.9125000000013,7,0,S0000_0
Overtake_Hunter,29,70.27499999999984,89.75000000000001,2602.7500000000005,5,0,S0000_0
Adaptive_AI,29,65.05500000000005,89.7125,2601.6625000000013,2,0,S0000_0
Electric_Blitz,30,16.749999999999957,89.5695,2686.809499999999,1,1,S0000_0
Energy_Saver,30,97.6842105263158,89.81026315789475,2695.6815789473685,8,0,S0000_0
Balanced_Hybrid,30,67.00000000000017,89.7275,2691.8249999999994,4,0,S0000_0
Corner_Specialist,30,66.25,89.72,2691.599999999999,3,0,S0000_0
Straight_Dominator,30,76.74999999999983,89.7675,2693.024999999999,6,0,S0000_0
Late_Charger,30,97.15,89.55,2698.4625000000015,7,0,S0000_0
Overtake_Hunter,30,69.24999999999983,89.75000000000001,2692.5000000000005,5,0,S0000_0
Adaptive_AI,30,63.85000000000005,89.7125,2691.3750000000014,2,0,S0000_0
Electric_Blitz,31,13.974999999999957,89.625,2776.434499999999,1,1,S0000_0
Energy_Saver,31,97.35438596491228,89.8071052631579,2785.4886842105266,8,0,S0000_0
Balanced_Hybrid,31,65.90000000000018,89.7275,2781.5524999999993,4,0,S0000_0
Corner_Specialist,31,65.125,89.72,2781.319999999999,3,0,S0000_0
Straight_Dominator,31,75.97499999999982,89.7675,2782.792499999999,6,0,S0000_0
Late_Charger,31,94.30000000000001,89.55,2788.0125000000016,7,0,S0000_0
Overtake_Hunter,31,68.22499999999982,89.75000000000001,2782.2500000000005,5,0,S0000_0
Adaptive_AI,31,62.64500000000005,89.7125,2781.0875000000015,2,0,S0000_0
Electric_Blitz,32,11.199999999999957,89.68050000000001,2866.114999999999,1,1,S0000_0
Energy_Saver,32,97.00263157894737,89.80394736842106,2875.2926315789477,8,0,S0000_0
Balanced_Hybrid,32,64.80000000000018,89.7275,2871.2799999999993,4,0,S0000_0
Corner_Specialist,32,64.0,89.72,2871.0399999999986,3,0,S0000_0
Straight_Dominator,32,75.19999999999982,89.7675,2872.559999999999,6,0,S0000_0
Late_Charger,32,91.45000000000002,89.55,2877.562500000002,7,0,S0000_0
Overtake_Hunter,32,67.19999999999982,89.75000000000001,2872.0000000000005,5,0,S0000_0
Adaptive_AI,32,61.440000000000055,89.7125,2870.8000000000015,2,0,S0000_0
Electric_Blitz,33,8.424999999999956,89.736,2955.8509999999987,1,1,S0000_0
Energy_Saver,33,96.62894736842105,89.80078947368422,2965.093421052632,8,0,S0000_0
Balanced_Hybrid,33,63.70000000000018,89.7275,2961.0074999999993,4,0,S0000_0
Corner_Specialist,33,62.875,89.72,2960.7599999999984,3,0,S0000_0
